1,173,"PSC 5954, Box 0204 APO AP 09149",40.7573661804199,-73.9990692138672,2023-08-22 07:34:00.0000000,Delivered,4,8,100,4.9833607673645,2023-08-22 07:44:00.0000000,10,Morning
2,212,"796 Jimmy Square Robertside, RI 60464",40.7627220153809,-73.9897308349609,2023-09-07 02:11:00.0000000,Pending,7,14,59,5.7116494178772,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
3,194,"365 King Centers Dennisberg, RI 13807",40.7774505615234,-73.991828918457,2023-09-08 03:21:00.0000000,Pending,25,18,38,7.27861642837524,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
4,26,"461 Andrew Knolls Suite 904 Port Brandi, OR 82144",40.704662322998,-73.9816818237305,2023-08-24 10:59:00.0000000,Delivered,17,6,80,2.244868516922,2023-08-24 11:03:00.0000000,4,Morning
5,432,"467 Blevins Mountains Suite 444 Larsonhaven, WI 47950",40.7853660583496,-73.9905624389648,2023-08-29 12:37:00.0000000,Pending,30,2,40,8.16332721710205,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
6,289,"488 Zimmerman Brooks Suite 224 West Angela, AR 60457",40.7562713623047,-73.9920272827148,2023-09-13 11:24:00.0000000,Pending,33,11,24,4.96977281570435,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
7,164,"471 Savannah Court Suite 788 Port Jennifer, NE 47556",40.71630859375,-73.9966049194336,2023-08-19 08:15:00.0000000,Delivered,29,3,1,0.884129703044891,2023-08-19 08:17:00.0000000,2,Morning
8,129,"962 Charles Rapids Alvinfort, ND 21094",40.730224609375,-73.9831161499023,2023-08-28 16:45:00.0000000,Pending,1,18,80,2.73530769348145,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
9,389,"247 Gregory Dale Apt. 911 Benjaminside, SC 04163",40.7663536071777,-73.9879379272461,2023-08-19 12:39:00.0000000,Pending,1,20,42,6.13944101333618,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
10,58,"871 Brennan Villages Suite 936 Ericburgh, NY 13018",40.7648315429688,-73.9950866699219,2023-09-13 01:48:00.0000000,Pending,47,19,92,5.85107564926147,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
11,385,"1858 Newton Extension Apt. 583 North Deborahchester, AK 02349",40.7293472290039,-73.988037109375,2023-09-06 17:31:00.0000000,Delivered,43,12,69,2.38325762748718,2023-09-06 17:36:00.0000000,5,Evening
12,263,"555 Leach Fields Gravesfurt, KS 69543",40.7077941894531,-73.9844818115234,2023-09-08 18:04:00.0000000,Pending,4,14,53,1.90161418914795,1900-01-01 00:00:00.0000000,0,Not Yet Delivered
13,489,"319 Tina Harbors Suite 965 South Wayne, WV 71319",40.7393379211426,-73.9905853271484,2023-09-08 01:47:00.0000000,Delivered,24,5,14,3.22206664085388,2023-09-08 01:54:00.0000000,7,Night
14,374,"42179 Steven Harbor Port Briana, GU 83428",40.7637786865234,-73.9828567504883,2023-08-30 03:57:00.0000000,Delivered,42,4,65,5.98900651931763,2023-08-30 04:09:00.0000000,12,Night
